# THE artifact table — which per-stage ARTIFACTS the pipeline promises, and who reads each one.
#
# This is the third layer of the same fix. bin/lib/install-manifest.sh declares which FILES a
# wired project must carry; bin/lib/obligations.tsv declares which PASSES owe a mark. Between
# them sat a hole this repo fell into at least seven measured times (improvement-plan
# Findings 2, 5, 10, 11, 12, 13, 15): a consumer was written, routed and gated against an
# artifact whose producer was never wired into the stage that owns it. The coverage ledger had
# ELEVEN executable readers and no producer in the spine; page-scope.json had two readers and a
# documented phantom producer; check_stage_6() demanded a report.html nothing generated, so the
# terminal gate was structurally unpassable in every project. Each was found by a human reading
# a failed project, not by anything in this repo going red.
#
# A CONSUMER IS NOT A PRODUCER. The rule "absence is never a pass" was implemented only at the
# consumer end — every fail-closed reader became a permanent red no correct work could clear,
# and a permanent red gets routed around. This table is the producer-side mirror: one row per
# artifact some stage's "Agent produces" row promises, so a stage that never emitted its
# artifact reports PENDING out loud instead of nothing at all. It decides NOTHING about content
# quality — whether a blueprint is any good stays with the skills (skills-over-scripts.md). It
# only notices absence.
#
# A ROW EARNS ITS PLACE BY CITING A REAL CONSUMER — a script, gate or skill that actually reads
# the artifact, named with file:line (or file §section) in the consumers column. This is not an
# inventory of everything imaginable: an artifact nobody reads is an artifact whose absence
# costs nothing, and a table full of those is a table nobody reads. Stage-7 outputs (cutover
# checklist, migration scripts) have no row for exactly that reason — check_stage_7() reads
# only the decision register. When something starts reading one, it gets a row that day.
#
# Read by bin/lib/artifact-check.sh, sourced from bin/gate-check.sh (informational, never
# blocking — Decision 1 in process/improvement-plan-e2e-reporting.md stands: nothing blocks).
#
# Format: TAB-separated, seven columns. Blank lines and #-comments ignored.
#   1 artifact    stable id, used in waiver lines ("Waived artifact blueprint-html: ...")
#   2 stage       conversion-runbook.md stage (P, 0-7) whose "Agent produces" row owns it
#   3 paths       project-relative glob(s), |-separated — ANY non-empty match discharges the
#                 row. Also resolved under analysis/<name>/ (the nested layout gate-check.sh's
#                 ANALYSIS_BASE serves). Alternatives exist where real projects legitimately
#                 differ (the three ledger shapes of skills/coverage-ledger.md §"Where the
#                 ledger lives"), never as a hedge against not knowing the convention.
#   4 producer    the skill step or script that emits it — the thing a PENDING row tells you
#                 to run
#   5 consumers   the citations that earn the row its place (see above)
#   6 modes       comma list of entry modes that owe it: migration,requirements,greenfield
#                 (conversion-runbook.md §"Entry Modes", table at :98-102). À-la-carte projects
#                 run no stages and are excused wholesale by artifact-check.sh, same test as
#                 obligation-check.sh.
#   7 absence     gate   — an existing mechanical check already refuses without it
#                          (check_stage_*/build-ready); absence at a reached stage is holding
#                          a gate shut RIGHT NOW
#                 report — report-only; absence is named, nothing blocks on it
#
# WHAT THIS TABLE MUST NOT DO: force a back-fill. A project that ran `--adopt <stage>` owes
# nothing below its adoption point (those rows report ADOPTED), a waived stage's artifacts are
# waived with it, and an entry mode that does not run a stage does not owe its artifacts.
# Stages the register shows the project has not begun report their absence quietly — owed
# later, not overdue now.
#
artifact	stage	paths	producer	consumers	modes	absence
intake	P	intake.md	bin/init-project.sh scaffold + the Stage-P kickoff interview (conversion-runbook.md §2 Stage P)	bin/gate-check.sh:596 (check_stage_P), bin/gate-check.sh:497 (entry-mode fallback read)	migration,requirements,greenfield	gate
register	P	PROJECT.md	bin/init-project.sh (empty register); every checkpoint writes into it (CLAUDE.md §One decision register)	bin/gate-check.sh:285 (register resolution feeding every ✋ gate), bin/lib/obligation-check.sh:151 (waivers/adoption read from it)	migration,requirements,greenfield	gate
triage	0	triage.md	bin/init-project.sh scaffold, filled per skills/source-triage.md; N/A rows recorded, never deleted (conversion-runbook.md:130)	bin/gate-check.sh:684 (check_stage_0 sign-off test)	migration,requirements,greenfield	gate
extraction-report	1	analysis/*/knowledge-base/extraction-report.html|analysis/knowledge-base/extraction-report.html|knowledge-base/extraction-report.html	bin/extraction-report.sh <project-root> — one renderer for every entry mode	bin/gate-check.sh:725 (check_stage_1)	migration,requirements	gate
brds	2	analysis/*/knowledge-base/brd/*.brd.json|analysis/knowledge-base/brd/*.brd.json|knowledge-base/brd/*.brd.json	pipeline generators (migration), skills/kb-generation.md (documents), skills/brd-generation.md (by hand) — the reader must not care which	bin/lib/discover-brds.sh:43 (the one path authority), bin/gate-check.sh:773 (check_stage_2), bin/brd-report.sh, bin/open-questions.sh	migration,requirements	gate
brd-validation	2	analysis/*/knowledge-base/reports/validation-report.md|analysis/knowledge-base/reports/validation-report.md|knowledge-base/reports/validation-report.md	skills/brd-validation.md loop, run to Clean	bin/gate-check.sh:777-807 (check_stage_2 Stop-condition test)	migration,requirements	gate
brd-surface	2	analysis/brd-report.html	bin/brd-report.sh <project-root> (default output, bin/brd-report.sh:113)	conversion-runbook.md §2 Stage-2 Surface row, parsed at bin/gate-check.sh:1284 (stage_surface_cells)	migration,requirements	report
module-design	3	architecture/module-design.html|module-design.html	skills/modularize-domain.md:88 (the human-facing sign-off artifact)	skills/modularize-domain.md:109 (gate checklist), conversion-runbook.md:478 Stage-3 Surface row (parsed at bin/gate-check.sh:1284)	migration,requirements	report
fit-gap	3	architecture/fit-gap.md	skills/architecture-blueprint.md Step 4	bin/gate-check.sh:912 (check_stage_3), bin/gate-check.sh:939 (blueprint.html staleness input)	migration,requirements	gate
blueprint-md	3	architecture/blueprint.md	skills/architecture-blueprint.md Steps 2-6 — the markdown is the source of truth	bin/gate-check.sh:939 (staleness input), skills/architecture-blueprint.md:54 (render source for blueprint.html)	migration,requirements	report
blueprint-html	3	architecture/blueprint.html	skills/architecture-blueprint.md Step 7 (generated render, never hand-edited)	bin/gate-check.sh:931-943 (check_stage_3 presence + freshness)	migration,requirements	gate
design-system	3	design/design-system.html	skills/design-artifacts.md:79 (annotated showcase linking ds.css)	bin/gate-check.sh:913 (check_stage_3), bin/gate-check.sh:1135 (build-ready)	migration,requirements	gate
